,City,Cloudines,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
62,Ponta do Sol,92,BR,1553181298,83,-20.63,-46.0,75.35,2.66
63,Veraval,40,FR,1553181259,66,49.65,0.71,55.67,2.1
64,Mayo,20,CA,1553176800,74,63.59,-135.9,34.07,1.0
65,Ginda,40,IN,1553176800,56,30.69,78.49,70.07,1.5
66,San Cristobal,40,EC,1553180543,67,-0.39,-78.55,61.07,2.6
67,Hobart,75,AU,1553181135,82,-42.88,147.33,59.27,3.1
68,Sande,0,DE,1553181263,54,51.76,8.66,65.26,1.5
69,Lufilufi,8,WS,1553181088,100,-13.87,-171.6,83.18,5.36
70,Wadi Musa,0,JO,1553176200,35,30.32,35.48,73.67,3.1
71,Ilulissat,40,GL,1553179800,47,69.22,-51.1,-9.13,4.1
72,La Asuncion,75,EC,1553176800,67,-1.64,-78.74,59.27,0.86
73,Dikson,76,RU,1553181179,90,73.51,80.55,17.03,7.96
74,Lokosovo,88,RU,1553181300,92,61.13,74.84,30.17,4.66
75,Shenzhen,40,CN,1553181271,74,22.54,114.05,79.07,4.6
76,Tessalit,20,ML,1553181300,15,20.2,1.01,87.23,4.21
77,Tuktoyaktuk,90,CA,1553176800,78,69.44,-133.03,14.27,2.6
78,Ossora,88,RU,1553181301,88,59.24,163.07,27.92,7.56
79,Waipawa,24,NZ,1553180297,94,-39.94,176.59,57.27,1.36
80,Provideniya,48,RU,1553181202,100,64.42,-173.23,1.91,8.66
81,Porangatu,56,BR,1553181301,98,-13.44,-49.14,81.38,2.31
82,Point Pedro,8,LK,1553181301,97,9.82,80.23,83.09,6.61
83,Upernavik,0,GL,1553181302,100,72.79,-56.15,-11.95,5.11
84,Gorbunki,0,RU,1553181285,49,59.82,29.98,46.67,5.0
85,Longyearbyen,75,NO,1553179800,73,78.22,15.63,23.27,0.71
86,Avarua,88,CK,1553178600,100,-21.21,-159.78,77.27,0.5
87,Noormarkku,32,FI,1553178000,80,61.59,21.87,39.47,4.6
88,Walvis Bay,0,NA,1553180529,53,-22.95,14.51,73.67,4.1
89,Mataura,64,NZ,1553181006,91,-46.19,168.86,60.28,0.66
90,Champerico,20,MX,1553176260,69,16.38,-93.6,73.67,4.1
91,Lazaro Cardenas,75,MX,1553181189,61,28.39,-105.62,59.27,2.31
92,Alice Springs,0,AU,1553178600,25,-23.7,133.88,77.27,2.1
93,Sheboygan,90,US,1553181227,86,43.75,-87.71,39.27,4.1
94,Sinnamary,64,GF,1553181305,90,5.38,-52.96,81.65,4.81
95,Puerto Lempira,20,HN,1553176800,78,15.27,-83.77,80.87,2.56
96,Avera,1,US,1553181304,41,33.19,-82.53,60.28,5.1
97,Nekhayevskiy,88,RU,1553181305,97,50.41,41.76,33.5,1.86
98,Brigantine,90,US,1553181304,93,39.41,-74.36,50.27,6.2
99,Zhanaozen,12,KZ,1553181306,66,43.35,52.85,52.76,2.56
100,Saint George,20,GR,1553181206,51,39.45,22.34,62.87,5.1
101,Taoudenni,80,ML,1553181184,13,22.68,-3.98,90.38,2.06
102,Dolores,44,UY,1553181366,78,-33.53,-58.22,64.64,1.96
103,Hirara,92,JP,1553181366,94,24.8,125.28,76.52,5.21
104,Staropesterevo,0,RU,1553181366,64,54.5,86.41,8.84,1.21
105,Vila Franca do Campo,75,PT,1553181327,77,37.72,-25.43,61.07,4.1
106,Tiksi,0,RU,1553181367,66,71.64,128.87,-0.52,9.21
107,Birin,92,SY,1553181367,58,35.01,36.67,65.99,0.81
108,Bokhan,64,RU,1553181367,81,53.15,103.77,20.9,2.66
109,Esperance,40,TT,1553181337,62,10.24,-61.45,87.28,6.7
110,Blythe,1,US,1553181358,61,33.61,-114.59,58.26,1.26
111,Valerianovsk,0,RU,1553181368,88,58.76,59.55,30.35,2.41
112,Ust-Nera,0,RU,1553181368,0,64.57,143.24,-31.3,0.86
113,Uhlove,0,UA,1553181368,79,44.82,33.6,48.17,4.61
114,Tasiilaq,90,GL,1553176200,85,65.61,-37.64,10.67,13.4
115,Pringsewu,44,ID,1553181369,95,-5.36,104.98,74.9,0.61
116,Barrow,0,AR,1553181164,96,-38.31,-60.23,61.13,3.01
117,Zhigansk,56,RU,1553181369,62,66.77,123.37,-7.54,2.81
118,Khatanga,68,RU,1553181185,74,71.98,102.47,10.1,3.01
119,Bodden Town,75,KY,1553180404,74,19.28,-81.25,80.28,5.1
120,Ribeira Grande,75,PT,1553178600,72,38.52,-28.7,62.87,4.6
121,Cidreira,8,BR,1553181370,75,-30.17,-50.22,72.83,4.91
122,Tahe,64,CN,1553181371,71,52.34,124.71,7.85,1.36
123,Sambava,20,MG,1553181371,99,-14.27,50.17,84.35,8.26
124,Bethel,90,US,1553176560,92,60.79,-161.76,26.87,4.1
125,Kaitangata,68,NZ,1553181146,92,-46.28,169.85,58.07,1.16
126,Alghero,0,IT,1553181364,48,40.56,8.32,62.87,9.3
127,Bredasdorp,0,ZA,1553180543,60,-34.53,20.04,72.27,5.7
128,Pevek,20,RU,1553181372,54,69.7,170.27,-18.52,1.61
129,Dekar,0,BW,1553181373,12,-21.53,21.93,98.66,2.11
130,Flinders,90,AU,1553181126,100,-34.58,150.85,69.28,1.06
131,Jamestown,0,AU,1553181373,86,-33.21,138.6,62.48,3.01
132,Pangnirtung,75,CA,1553176800,61,66.15,-65.72,-23.53,2.1
133,San Patricio,0,PY,1553181212,69,-26.98,-56.83,74.0,2.66
134,Saldanha,0,PT,1553181374,32,41.42,-6.55,59.87,2.51
135,Kidal,0,ML,1553181374,13,18.44,1.41,92.0,3.46
136,Mar del Plata,44,AR,1553181374,70,-46.43,-67.52,59.96,2.46
137,Mehamn,75,NO,1553176200,86,71.03,27.85,34.07,5.1
138,Constitucion,5,MX,1553181016,64,23.99,-104.67,55.27,1.71
139,Puerto Cabello,0,VE,1553181374,63,10.47,-68.01,81.65,1.21
140,Cayenne,75,GF,1553178600,62,4.94,-52.33,86.27,5.1
141,Beloha,92,MG,1553181375,55,-25.17,45.06,82.28,4.51
142,Qaanaaq,24,GL,1553181375,54,77.48,-69.36,-19.42,2.76
143,Oranjemund,0,ZA,1553181375,92,-28.55,16.43,63.65,12.86
144,Soyo,20,AO,1553180400,70,-6.13,12.37,89.87,4.1
145,Nikolskoye,0,RU,1553181285,49,59.7,30.79,46.67,5.0
146,Luba,0,PH,1553181375,83,17.32,120.7,70.76,1.21
147,Vila Velha,40,BR,1553180894,70,-3.71,-38.6,88.27,4.1
148,Lompoc,90,US,1553181342,87,34.64,-120.46,50.27,4.1
149,Sur,0,OM,1553181376,87,22.57,59.53,75.44,5.01
150,Urdoma,36,RU,1553181436,82,61.74,48.55,33.5,3.46
151,Vanavara,36,RU,1553181436,81,60.35,102.28,17.48,3.11
152,Wanlaweyn,0,SO,1553181436,38,2.62,44.89,93.62,6.51
153,Iqaluit,75,CA,1553181163,69,63.75,-68.52,-12.73,1.0
154,Nouakchott,0,MR,1553178600,64,18.08,-15.98,75.47,6.7
155,Batticaloa,32,LK,1553181437,95,7.71,81.69,82.82,4.01
156,Talnakh,88,RU,1553181157,87,69.49,88.39,22.79,5.01
157,Shugurovo,92,RU,1553181437,98,54.51,52.13,35.57,0.66
158,College,90,US,1553181406,79,64.86,-147.8,32.27,0.81
159,Dong Xoai,44,VN,1553181165,92,11.53,106.92,75.62,1.86
160,Harper,1,US,1553181110,76,30.3,-99.24,61.27,1.86
161,Batemans Bay,88,AU,1553180965,96,-35.71,150.18,66.27,0.89
162,Lishu,0,CN,1553181438,51,43.31,124.32,5.15,2.56
163,Road Town,20,VG,1553181432,65,18.42,-64.62,83.26,2.6
164,Port Macquarie,75,AU,1553181305,88,-31.43,152.91,70.07,2.6
165,Port Hedland,88,AU,1553178600,74,-20.31,118.58,86.27,8.7
166,Sao Joao da Barra,40,BR,1553176800,62,-21.64,-41.05,84.47,5.1
167,Port Blair,8,IN,1553181439,95,11.67,92.75,85.97,4.16
168,Payakumbuh,32,ID,1553181439,93,-0.23,100.63,72.38,1.01
169,Tura,0,IN,1553181427,79,25.52,90.21,68.15,1.01
170,Chokurdakh,0,RU,1553181439,0,70.62,147.9,-26.98,2.36
171,Redmond,75,US,1553181188,81,47.67,-122.12,50.27,4.1
172,Hobyo,0,SO,1553181439,76,5.35,48.53,81.47,6.81
173,Dzilam Gonzalez,0,MX,1553181439,56,21.28,-88.93,80.84,1.66
174,Carnarvon,0,ZA,1553181440,15,-30.97,22.13,80.75,3.11
175,Nanortalik,68,GL,1553181440,100,60.14,-45.24,22.25,10.51
176,Aquiraz,40,BR,1553180894,70,-3.9,-38.39,88.27,4.1
177,Balkanabat,88,TM,1553181440,72,39.51,54.36,47.45,1.36
178,Hithadhoo,36,MV,1553181440,100,-0.6,73.08,85.97,2.36
179,Bani,0,PH,1553181441,96,15.89,120.27,74.63,1.46
180,Nsanje,48,MZ,1553181441,85,-16.92,35.26,81.92,1.76
181,Phan Thiet,20,VN,1553181441,91,10.93,108.1,80.66,3.86
182,Atascadero,40,US,1553181312,93,35.49,-120.67,48.47,1.81
183,Kokoda,80,PG,1553181441,96,-8.88,147.74,64.82,1.01
184,Nampula,75,MZ,1553180400,100,-15.12,39.26,73.67,3.1
185,Talaya,0,RU,1553181317,68,55.79,84.89,29.26,4.0
186,Coquimbo,75,CL,1553176800,82,-29.95,-71.34,59.27,1.76
187,Klaebu,75,NO,1553181316,56,63.3,10.48,43.07,14.4
188,Inirida,56,CO,1553181442,84,3.87,-67.92,83.54,1.21
189,Clyde River,5,CA,1553176800,67,70.47,-68.59,-23.53,2.1
190,Portland,90,US,1553181203,76,45.52,-122.67,50.27,0.86
191,Souillac,0,FR,1553181425,29,45.6,-0.6,62.28,7.7
192,Mirpur Sakro,40,PK,1553178300,47,24.55,67.63,79.07,2.6
193,Chililabombwe,20,ZM,1553181443,78,-12.37,27.84,78.05,1.41
194,Acapulco,5,MX,1553175660,78,16.86,-99.88,77.27,2.1
195,Maumere,24,ID,1553181443,96,-8.63,122.22,83.63,5.66
196,Ancud,90,CL,1553176800,100,-41.87,-73.83,48.47,4.1
197,Ostersund,20,SE,1553178000,51,63.18,14.64,37.67,13.9
198,Madimba,40,CM,1553180400,75,4.42,9.93,89.87,2.6
199,Westport,75,IE,1553181331,87,53.8,-9.52,54.27,7.7
200,Mackay,1,CA,1553180400,73,53.65,-115.58,26.87,1.5
201,Kruisfontein,0,ZA,1553181504,78,-34.0,24.73,66.17,5.56
202,Kavieng,44,PG,1553181504,100,-2.57,150.8,83.81,3.56
203,Denpasar,75,ID,1553176800,100,-8.65,115.22,79.07,1.5
204,Labuhan,56,ID,1553181504,87,-2.54,115.51,76.43,0.76
205,Nioro,8,GM,1553181504,24,13.79,-15.05,99.83,3.11
206,Mount Gambier,90,AU,1553178600,100,-37.83,140.78,61.07,3.1
207,Honningsvag,20,NO,1553176200,80,70.98,25.97,34.07,5.1
208,Balagansk,68,RU,1553181505,76,54.01,103.05,22.43,2.56
209,Bethanien,0,NA,1553181505,12,-26.5,17.16,92.09,1.91
210,Escarcega,0,MX,1553181505,55,18.61,-90.75,82.28,1.71
211,Almeirim,20,PT,1553181398,39,39.21,-8.63,72.27,2.6
212,Mudgee,90,AU,1553181403,77,-32.6,149.59,70.07,2.6
213,Santiago,0,CL,1553181350,28,-33.44,-70.65,77.27,1.5
214,Matara,75,PE,1553176800,328,-13.74,-72.9,37.67,1.06
215,Xining,44,CN,1553181506,65,36.62,101.77,27.83,3.66
216,Kendari,68,ID,1553181506,94,-3.99,122.52,74.27,1.11
217,Porto Novo,75,BR,1553180400,94,-23.68,-45.44,68.27,2.1
218,Imeni Morozova,0,RU,1553181285,49,59.98,31.04,46.67,5.0
219,Canberra,75,AU,1553181484,88,-35.3,149.1,64.27,1.0
220,Lamar,1,US,1553176380,79,38.09,-102.62,28.67,2.1
221,Kieta,44,PG,1553181507,100,-6.22,155.63,78.5,0.31
222,Ahipara,32,NZ,1553181507,100,-35.17,173.16,64.82,3.41
223,East London,40,ZA,1553176800,68,-33.02,27.91,68.27,8.2
224,Manggar,0,ID,1553181507,100,-2.88,108.27,76.61,2.36
225,Mlonggo,75,ID,1553178600,88,-6.53,110.7,77.27,2.1
226,Iwaki,64,JP,1553181072,94,37.05,140.89,57.27,0.45
227,Mulbagal,32,IN,1553181508,39,13.17,78.4,82.37,4.06
228,Saint-Ambroise,40,FR,1553181425,55,47.25,-0.65,67.26,4.1
229,Ocampo,0,PH,1553181508,95,13.56,123.37,75.08,3.21
230,Tecoanapa,5,MX,1553175660,78,16.99,-99.26,77.27,2.1
231,Goderich,88,CA,1553181506,90,43.74,-81.71,39.27,1.34
232,Kodiak,1,US,1553181490,93,39.95,-94.76,44.28,3.6
233,Nhulunbuy,32,AU,1553178600,83,-12.18,136.78,82.67,1.5
234,Luganville,32,VU,1553181508,100,-15.51,167.18,81.83,3.31
235,Orlik,36,RU,1553181509,77,52.51,99.83,0.2,0.86
236,Victoria,75,BN,1553178600,88,5.28,115.24,82.67,0.5
237,Ixtapa,5,MX,1553181322,100,20.71,-105.21,75.27,2.1
238,Mount Pleasant,1,US,1553181325,62,33.16,-94.97,61.27,2.1
239,Bowmore,90,US,1553181506,100,34.94,-79.3,51.28,3.1
240,West Bay,40,GB,1553181491,82,50.71,-2.76,58.26,1.5
241,Badou,68,TG,1553181510,70,7.58,0.61,85.61,3.11
242,Vanimo,56,PG,1553181510,100,-2.67,141.3,82.1,7.56
243,Lorengau,80,PG,1553181418,99,-2.02,147.27,82.73,2.86
244,Liwale,8,TZ,1553181510,53,-9.8,37.92,86.78,2.11
245,Daru,0,SL,1553181510,41,7.99,-10.85,96.68,3.41
246,Saurimo,0,AO,1553180400,48,-9.66,20.4,86.27,1.61
247,Lucapa,32,AO,1553181511,59,-8.42,20.74,85.7,1.81
248,Pachino,40,IT,1553176200,63,36.72,15.09,61.07,9.3
249,Caucaia,40,BR,1553181496,70,-3.73,-38.66,88.27,4.1
250,Arraial do Cabo,75,BR,1553180400,58,-22.97,-42.02,84.47,4.1
251,Leh,76,IN,1553181571,78,34.16,77.58,7.13,0.51
252,Dudinka,80,RU,1553181571,86,69.41,86.18,24.59,5.66
253,Los Llanos de Aridane,20,ES,1553181303,64,28.66,-17.92,68.27,6.7
254,Faanui,92,PF,1553181571,100,-16.48,-151.75,84.35,2.96
255,Puerto Leguizamo,12,CO,1553181572,80,-0.19,-74.78,84.8,0.66
256,Penzance,75,GB,1553181486,100,50.12,-5.53,53.87,3.1
257,Kavaratti,0,IN,1553181572,100,10.57,72.64,83.99,3.86
258,Luderitz,0,NA,1553181572,70,-26.65,15.16,69.5,9.06
259,Aguimes,20,ES,1553181334,60,27.91,-15.45,74.26,11.8
260,Chara,20,GR,1553181206,51,39.42,22.43,62.87,5.1
261,Kupang,20,ID,1553176800,83,-10.16,123.6,79.07,1.5
262,Mocorito,0,MX,1553181317,88,25.48,-107.92,61.27,1.76
263,Peniche,20,PT,1553181354,39,39.36,-9.38,70.27,2.6
264,Saint-Philippe,90,CA,1553181566,60,45.36,-73.48,42.28,5.7
265,Port Hardy,20,CA,1553180400,79,50.7,-127.42,34.07,3.1
266,Sao Francisco do Sul,90,BR,1553181372,94,-26.24,-48.64,72.27,2.6
267,Gwadar,0,PK,1553181573,76,25.12,62.33,74.09,3.71
268,Serpong,20,ID,1553181559,78,-6.32,106.66,86.27,1.5
269,Chumikan,0,RU,1553181574,67,54.72,135.31,-4.66,1.86
270,Margate,75,AU,1553181555,82,-43.03,147.26,59.27,3.1
271,Nawalgarh,20,IN,1553181574,22,27.85,75.27,76.25,4.46
272,Nara,75,JP,1553181217,100,34.68,135.8,65.26,2.1
273,Kalmunai,48,LK,1553181574,86,7.42,81.82,79.85,2.26
274,Touros,75,BR,1553176800,79,-5.2,-35.46,86.27,2.6
275,Husavik,0,CA,1553181348,69,50.56,-96.99,40.26,3.58
276,Kawalu,64,ID,1553181575,95,-7.38,108.21,69.05,0.71
277,Bejar,20,AL,1553181575,57,40.49,19.83,64.28,0.86
278,Georgetown,40,GY,1553176800,74,6.8,-58.16,84.47,6.2
279,Lang Son,0,VN,1553181575,92,21.83,106.73,69.5,1.21
280,Erzin,0,TR,1553181352,46,36.95,36.2,73.67,5.1
281,Poum,40,MK,1553178600,35,41.28,20.71,57.47,5.1
282,Adrar,0,DZ,1553176800,20,27.87,-0.29,73.67,3.6
283,Tuatapere,48,NZ,1553181006,91,-46.13,167.69,60.28,1.41
284,Manakara,80,MG,1553181576,82,-22.14,48.01,83.27,4.26
285,Waddan,0,LY,1553181576,28,29.16,16.14,78.77,2.61
286,Hamilton,75,BM,1553181121,72,32.3,-64.78,66.47,10.3
287,Valparaiso,90,US,1553181320,86,41.47,-87.06,39.47,3.6
288,Gat,0,SN,1553180400,48,14.69,-16.54,82.67,5.7
289,Hofn,20,IS,1553180400,80,64.25,-15.21,35.87,4.6
290,Sungairaya,24,ID,1553181576,77,0.7,108.9,79.22,2.06
291,Inhambane,12,MZ,1553181543,74,-23.87,35.38,84.08,4.91
292,Coahuayana,64,MX,1553181577,32,18.62,-100.35,72.47,1.31
293,Oksfjord,0,NO,1553178000,64,70.24,22.35,37.67,3.6
294,Souris,40,CA,1553181448,59,46.36,-62.25,40.26,5.7
295,Kodinsk,56,RU,1553181577,75,58.6,99.18,25.85,2.66
296,Sarangani,44,PH,1553181577,96,5.4,125.46,81.83,7.56
297,Nouadhibou,76,MR,1553180400,68,20.93,-17.03,71.87,7.2
298,Hualmay,20,PE,1553181578,77,-11.1,-77.61,74.99,1.96
299,Houston,1,US,1553181512,45,29.76,-95.37,67.26,2.1
300,Boly,0,HU,1553180400,26,45.97,18.52,57.47,2.1
301,Vostok,76,RU,1553181638,72,46.45,135.83,19.19,1.36
302,Luau,24,CD,1553181638,61,-10.7,22.23,82.55,1.21
303,Comodoro Rivadavia,44,AR,1553181562,77,-45.87,-67.48,60.95,2.26
304,Galdar,20,ES,1553181633,60,28.15,-15.65,73.27,11.8
305,Aranos,0,NA,1553181638,9,-24.14,19.11,97.4,1.41
306,Along,92,IN,1553181639,96,28.17,94.8,53.12,0.61
307,Aborlan,0,PH,1553181639,100,9.44,118.55,79.85,2.86
308,Huarmey,8,PE,1553181639,63,-10.07,-78.15,77.15,1.66
309,Galle,1,US,1553181637,55,29.74,-97.91,65.26,2.1
310,Port Lincoln,0,AU,1553181639,99,-34.72,135.86,63.65,5.56
311,Kristianstad,75,SE,1553181621,87,56.03,14.16,52.27,6.2
312,Beringovskiy,8,RU,1553181639,80,63.05,179.32,-4.39,5.01
313,Taketa,100,JP,1553181423,91,32.97,131.38,57.27,1.61
314,Nuuk,75,GL,1553179800,54,64.17,-51.74,3.47,3.6
315,Sampit,36,ID,1553181640,95,-2.54,112.95,74.18,0.96
316,Tarko-Sale,88,RU,1553181371,87,64.92,77.78,30.27,3.96
317,Livny,88,RU,1553181640,94,52.43,37.61,33.59,2.21
318,Shingu,88,JP,1553181640,90,33.72,135.99,65.36,5.21
319,Katsuura,75,JP,1553181449,100,33.93,134.5,60.28,1.5
320,Marinette,90,US,1553181304,100,45.1,-87.63,39.27,2.6
321,Richards Bay,100,ZA,1553181641,88,-28.77,32.06,75.08,4.46
322,Pitimbu,75,BR,1553176800,59,-7.47,-34.81,89.87,5.1
323,Shenjiamen,92,CN,1553181641,99,29.96,122.3,52.58,8.56
324,Angoram,48,PG,1553181641,99,-4.06,144.07,75.8,0.51
325,Aswan,0,EG,1553176800,7,24.09,32.9,93.47,4.1
326,Tambovka,32,UA,1553181641,48,46.93,35.45,49.43,5.36
327,Santa Cruz,1,US,1553181626,93,36.97,-122.03,48.27,0.96
328,Oloron-Sainte-Marie,0,FR,1553181599,58,43.19,-0.61,65.26,1.5
329,Ostrowiec Swietokrzyski,75,PL,1553181625,57,50.93,21.39,56.26,6.2
330,Buenavista,75,CO,1553180400,88,4.36,-75.74,73.67,3.6
331,Isangel,68,VU,1553181645,98,-19.55,169.27,82.73,5.81
332,Pechenga,88,RU,1553181645,93,58.89,41.46,33.23,4.01
333,Brewster,75,US,1553181628,65,41.76,-70.08,49.26,7.7
334,Lekoni,8,GA,1553181645,89,-1.58,14.26,85.16,2.06
335,Fortuna,20,ES,1553181624,31,38.18,-1.13,64.67,3.6
336,Mount Isa,12,AU,1553178600,45,-20.73,139.49,82.67,2.6
337,Te Anau,76,NZ,1553181646,88,-45.41,167.72,53.12,1.06
338,Boguchany,80,RU,1553181646,73,58.38,97.46,26.39,2.86
339,Dalbandin,0,PK,1553181646,26,28.9,64.41,63.47,1.21
340,Santa Rosalia,40,IT,1553181639,67,38.07,13.27,65.26,6.7
341,Aykhal,20,RU,1553181646,71,65.95,111.51,7.67,4.41
342,Broome,75,GB,1553181644,72,52.47,1.45,61.27,2.1
343,Leningradskiy,24,RU,1553181647,41,69.38,178.42,-12.67,4.36
344,Lexington,90,US,1553181621,81,38.05,-84.5,49.26,4.6
345,Victor Harbor,20,AU,1553181616,77,-35.55,138.62,67.26,4.6
346,Vardo,90,US,1553181643,86,39.62,-77.74,43.07,4.1
347,Sao Geraldo do Araguaia,12,BR,1553181647,73,-6.4,-48.55,87.23,3.56
348,Hokitika,44,NZ,1553181648,100,-42.72,170.96,61.85,0.21
349,Broken Hill,0,AU,1553176800,22,-31.97,141.45,80.87,4.6
350,Mantua,0,IT,1553181600,26,45.16,10.79,61.27,2.1
351,Lanzhou,0,CN,1553176800,21,36.06,103.82,35.87,2.0
352,Puerto Escondido,0,MX,1553181708,100,15.86,-97.07,81.74,0.51
353,Bloomfield,1,US,1553181335,86,40.75,-92.42,41.27,5.1
354,Katima Mulilo,20,NA,1553181708,22,-17.5,24.28,95.15,3.76
355,Chuy,68,UY,1553181709,97,-33.69,-53.46,65.54,4.16
356,Ust-Tsilma,32,RU,1553181709,73,65.44,52.15,26.39,2.31
357,Yanji,76,CN,1553181709,74,42.89,129.5,23.87,4.56
358,Kamenka,80,RU,1553181709,98,53.19,44.05,32.33,1.66
359,Ati,12,TD,1553181709,11,13.21,18.34,106.67,3.21
360,Westonaria,8,ZA,1553181438,20,-26.32,27.65,88.07,2.1
361,Olavarria,0,AR,1553181710,65,-36.89,-60.32,63.56,2.91
362,Lahr,0,DE,1553181693,31,48.34,7.87,62.87,6.2
363,Sola,40,NO,1553181604,87,58.89,5.65,46.67,6.2
364,Dickinson,1,US,1553181591,66,46.88,-102.79,35.28,4.1
365,Altamira,44,BR,1553181603,81,-3.2,-52.21,85.52,1.96
366,Lamu,48,ID,1553181710,100,0.57,122.3,75.8,1.41
367,Hammerfest,0,NO,1553178000,59,70.66,23.68,37.67,4.1
368,Saint-Augustin,0,FR,1553181333,31,44.83,-0.61,66.27,2.6
369,Ibra,0,OM,1553181711,46,22.69,58.55,74.72,2.06
370,Sioux Lookout,40,CA,1553180400,74,50.1,-91.92,35.87,6.7
371,Tucurui,92,BR,1553181711,85,-3.77,-49.67,81.02,1.36
372,San Borja,92,BO,1553181711,80,-14.86,-66.75,73.19,2.21
373,Kano,20,NG,1553180400,19,11.99,8.53,106.07,3.1
374,Lidkoping,75,SE,1553181608,93,58.51,13.16,50.27,8.2
